Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
CH;Altretamin;Altretamin;Hexalen;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX03
CH;Hexalen;Altretamin;Hexalen;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX03
SO;Amilomer;Amilomer;;ja;Anderes antineoplastisches Mittel;Chemoembolisation;
HO;Aminoglutethimid;Aminoglutethimid;Cytadren, Orimeten;ja;Endokrine Therapie;Aromatasehemmer;L02BG01 
HO;Cytadren;Aminoglutethimid;Cytadren, Orimeten;ja;Endokrine Therapie;Aromatasehemmer;L02BG01 
HO;Orimeten;Aminoglutethimid;Cytadren, Orimeten;ja;Endokrine Therapie;Aromatasehemmer;L02BG01 
SO; 5-Amino-4-oxopentansäure;Aminolevulinsäure;5-Amino-4-oxopentansäure, Alacare, Ameluz, Gliolan, Methylaminolevulinat;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XD04
SO;Alacare;Aminolevulinsäure;5-Amino-4-oxopentansäure, Alacare, Ameluz, Gliolan, Methylaminolevulinat;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XD04
SO;Ameluz;Aminolevulinsäure;5-Amino-4-oxopentansäure, Alacare, Ameluz, Gliolan, Methylaminolevulinat;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XD04
SO;Aminolevulinsäure;Aminolevulinsäure;5-Amino-4-oxopentansäure, Alacare, Ameluz, Gliolan, Methylaminolevulinat;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XD04
SO;Gliolan;Aminolevulinsäure;5-Amino-4-oxopentansäure, Alacare, Ameluz, Gliolan, Methylaminolevulinat;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XD04
SO;Methylaminolevulinat;Aminolevulinsäure;5-Amino-4-oxopentansäure, Alacare, Ameluz, Gliolan, Methylaminolevulinat;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XD04
CH;Amonafid;Amonafid;;ja;Zytostatikum;Topoisom.-Inhibitor;
CH;Amrubicin;Amrubicin;Calsed;ja;Zytostatikum;Anthrazyklin;L01DB10
CH;Calsed;Amrubicin;Calsed;ja;Zytostatikum;Anthrazyklin;L01DB10
CH;Amsacrin;Amsacrin;Amsidyl;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX01 
CH;Amsidyl;Amsacrin;Amsidyl;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX01 
CH;Agrylin;Anagrelid;Xagrid, Agrylin;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX35 
CH;Anagrelid;Anagrelid;Xagrid, Agrylin;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX35 
CH;Xagrid;Anagrelid;Xagrid, Agrylin;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX35 
IM;Anakinra;Anakinra;Kineret;ja;Immunmodulator;Interleukin-Antikörper;L04AC03
IM;Kineret;Anakinra;Kineret;ja;Immunmodulator;Interleukin-Antikörper;L04AC03
HO;Anastrozol;Anastrozol;Arimidex;ja;Endokrine Therapie;Aromatasehemmer;L02BG03 
HO;Arimidex;Anastrozol;Arimidex;ja;Endokrine Therapie;Aromatasehemmer;L02BG03 
IM;Anitlymphozytäres Immunglobulin;Antithymozytenglobulin;ATG, Grafalon, Thymoglobuline, Anitlymphozytäres Immunglobulin, Antithymozytäres Immunglobulin;nein;Supportiv;Antikörper (supportiv);L04AA03, L04AA04
IM;Antithymozytäres Immunglobulin;Antithymozytenglobulin;ATG, Grafalon, Thymoglobuline, Anitlymphozytäres Immunglobulin, Antithymozytäres Immunglobulin;nein;Supportiv;Antikörper (supportiv);L04AA03, L04AA04
IM;Antithymozytenglobulin;Antithymozytenglobulin;ATG, Grafalon, Thymoglobuline, Anitlymphozytäres Immunglobulin, Antithymozytäres Immunglobulin;nein;Supportiv;Antikörper (supportiv);L04AA03, L04AA04
